// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

444023 "<GREY>雇佣兵队长：巴比伦人出价太低，你们现在去帮波斯人吧。"
444024 "<GREY>雇佣兵队长：小伙子们，你们有了个新雇主。"
444025 "<GREY>雇佣兵队长：小伙子们，去支援波斯人，对了——别让自己丢了性命，我们马上就要成为有钱人了。"
444026 "<ORANGE>达提斯：兄弟们，前进！这些巴比伦人过惯了舒坦日子，完全无法抵挡我们的力量！"
444027 "<ORANGE>达提斯：兄弟们，勇敢起来！阿胡拉马兹达的光芒指引着我们的箭矢！"
444028 "<PURPLE>大流士国王：达提斯，干得漂亮！阿尔塔弗涅斯，看仔细，这够你学的了。"
444029 "<PURPLE>大流士国王：上攻城武器！"
444030 "<PURPLE>大流士国王：挡路者死！"
444031 "<ORANGE>达提斯：有些蠢货还想冒险带着黄金逃跑。把黄金抢过来。"
444032 "<ORANGE>达提斯：把黄金抢过来，想把黄金偷运出去的人要么死了，要么早就跑掉了。"
444033 "<ORANGE>达提斯：兄弟们，把黄金抬过来，它的原主已经用不上它了。"
444034 "<ORANGE>达提斯：等我们取得胜利，你会得到更多奖赏。"
444035 "<ORANGE>达提斯：波斯大王不会亏待你的。"
444036 "<ORANGE>达提斯：即使不给你黄金，你也理应看到波斯大王的正义之心。"
444037 "<ORANGE>达提斯：空中花园...我还以为只有尼尼微才有。"
444038 "<ORANGE>达提斯：占领皇宫，一切就结束了！"
444039 "<PURPLE>大流士国王：巴比伦人，睁大眼睛看好了，你们的城门、你们的神还有你们的军队都奈何不了我。因为我的王国由阿胡拉马兹达所赐，众神祝福汇集于此。现在，臣服于我！"
444040 "1. 序章：众神之门"
444041 "公元前 522 年，美索不达米亚"
444042 "世间鲜有城市能够和巴比伦相提并论。遗憾的是，巴比伦人犯了一个最致命的错误，就是不该抵抗波斯大王。"
444043 "阿尔塔弗涅斯"
444044 "大流士国王"
444045 "达提斯"
444046 "雇佣兵队长"
444047 "波斯人"
444048 "巴比伦"
444049 "尼丁图·贝尔"
444050 "雇佣兵"
444051 "巴比伦指挥官"
444052 "宝藏车"
444053 "工兵隧道"
444054 "巴比伦纪念碑"
444055 "+ 将补给车带给大流士。"
444056 "+ 将宝藏车运送到雇佣兵营地。"
444057 "+ 在主攻城营地与大流士会合。"
444058 "+ 带阿尔塔弗涅斯去见他们，即可选择一个护卫。\n你的选择会在以后的剧本中持续生效！"
444059 "- 带阿尔塔弗涅斯去见骑兵即可对其发号施令。"
444060 "- 带阿尔塔弗涅斯去见步兵即可对其发号施令。"
444061 "- 带阿尔塔弗涅斯去见弓兵即可对其发号施令。"
444062 "+ 保卫工兵隧道：(还剩下 <SappersIntact>/3)。"
444063 "+ 保卫工兵隧道直到他们推倒城墙：(还剩下 <SappersIntact>/3 个工兵)。"
444064 "+ 摧毁巴比伦城西的 2 座增强防御塔。"
444065 "- 找到城里的 5 个雇佣兵营地 (已找到 <MercsFound>/5 个营地)。"
444066 "- 找到城里的 5 个雇佣兵营地 (已找到 <MercsFound>/5 个营地)，收编更多军队。"
444067 "- 找到宝藏车贿赂巴比伦指挥官。"
444068 "- 将宝藏车带给巴比伦指挥官进行贿赂。"
444069 "- 将宝藏车带给巴比伦指挥官。"
444070 "- 在堡垒招募受伤的英雄单位。"
444071 "+ 占领巴比伦的金字塔神塔。"
444072 "+ 将宝藏车运送到雇佣兵营地。"
444073 "巴比伦骑兵"
444074 "或"
444075 "- 你现在可以训练骑兵了。-"
444076 "- 你现在可以训练步兵了。-"
444077 "- 你现在可以训练弓兵了。-"
444084 "- 杀死腐败的税务官。"
444085 "治疗阿尔塔弗涅斯 (<cost>)\n选择以治疗阿尔塔弗涅斯，然后让他重新回去战斗！"
444086 "治疗达提斯 (<cost>)\n选择以治疗达提斯，然后让他重新回去战斗！"
444087 "皇家车队"
444088 "- 使用单位收集被困住的补给车。"
444089 "将阿尔塔弗涅斯带到三个护卫面前，选择他们其中一个。❶你的选择会在以后的剧本中持续生效！"
444090 "巴比伦民兵"
444091 "+ 穿越干涸的河流。"
444092 "+ 在河流上建造一座大坝。"
444093 "- 补给车已安全抵达。-"
444094 "+ 训练更多单位，直到至少拥有 10 个。\n(已拥有 <Military Population>/10 个单位。)"
444095 "- 在堡垒训练更多护卫单位。"
444096 "箭塔"
444097 "河坝"
444098 "长生军的武器可以在长矛和弓之间切换。"
444099 "巴比伦人"

// overflow one
449000 "巴比伦的金字塔神塔"
449001 "利用村民建造一座大坝。"
449002 "+ 击败巴比伦海军。"

//
// Scenario Two
//

444100 "<BLUE>阿里斯塔格拉斯：光荣之日就要到来，朋友！纳克索斯岛将成为我们的囊中之物，波斯大王的光辉照耀着我们，还有征服所带来的财富。"
444101 "<ORANGE>阿尔塔弗涅斯：阿里斯塔格拉斯，我们不是朋友，我也不需要我哥哥的认可。现在，我们得做好准备迎接第一支车队的到来：我建议我们安排随护队伍，以防强盗半路拦截马车。"
444102 "<BLUE>阿里斯塔格拉斯：噗，你是说强盗吗？这个地区非常安全。"
444103 "<PURPLE>车队领袖：救命啊！有强盗在后面追我们！"
444104 "<ORANGE>阿尔塔弗涅斯：该死！保护车队！"
444105 "<ORANGE>达提斯：冲啊！保卫波斯大王的领土！"
444106 "<ORANGE>阿尔塔弗涅斯：达提斯，我猜是我哥哥派你来监视我的吧？"
444107 "<ORANGE>达提斯：我只是给你提供一些战事方面的建议。波斯大王不会在无人督战的情况下资助这样的远征，即便是他亲弟弟也不行。"
444108 "<ORANGE>一支车队已经抵达，船身由坚固的橡木制成，可以确保它安全抵达米利都。"
444109 "<ORANGE>阿尔塔弗涅斯：另一支车队还在路上，带有三千把由塞浦路斯铁制成的刀剑和长矛。"
444110 "<ORANGE>阿尔塔弗涅斯：绳索已经到了。确保将它们送达米利都。"
444111 "<ORANGE>阿尔塔弗涅斯：十万支插着老鹰羽毛的箭。拿进来。"
444112 "<ORANGE>阿尔塔弗涅斯：现在送来的是食物补供，有小麦粉、扁豆、枣子，每样一千阿尔塔巴。"
444113 "<ORANGE>阿尔塔弗涅斯：34,000 支船桨到了。这次远征最好值得这样的投入，阿里斯塔格拉斯。"
444114 "<ORANGE>阿尔塔弗涅斯：这里是 200 头牛，足以供一个国王进餐——更不用说一个小气的暴君了。"
444115 "<ORANGE>阿尔塔弗涅斯：这些咩咩叫个不停的羔羊应该足够供你献祭了，阿里斯塔格拉斯。"
444116 "<ORANGE>达提斯：要保持警惕，阿尔塔弗涅斯，你的哥哥可不喜欢浪费。"
444117 "<ORANGE>达提斯：波斯大王对他的所有财产都有详细记录，小心不要浪费东西，阿尔塔弗涅斯。"
444118 "<ORANGE>达提斯：阿尔塔弗涅斯，你被这个希腊人愚弄到何种地步？这些损失会让波斯大王暴跳如雷。"
444119 "<ORANGE>达提斯：够了！大王不会再容忍任何浪费。此次远征计划取消。"
444120 "<BLUE>阿里斯塔格拉斯：我的造船匠们会好好利用这些上好的木材。"
444121 "<BLUE>阿里斯塔格拉斯：阿尔塔弗涅斯，你来得正是时候！能有你这么一位挚友真是幸事。"
444122 "<ORANGE>阿尔塔弗涅斯：你确定这次远征会成功吗？"
444123 "<BLUE>阿里斯塔格拉斯：当然！我在纳克索斯岛上有不少好朋友。他们会助我们取得胜利，我向你保证。"
444124 "<BLUE>阿里斯塔格拉斯：你觉得在出海前最好的祭品是哪种动物？我有一头漂亮的白色小母牛可能适合作为祭品，不过我们已经把它给吃了。"
444125 "<BLUE>阿里斯塔格拉斯：啊，喂动物的饲料，太好了！这食物是给士兵们吃的吗？"
444126 "<ORANGE>达提斯：大王也是在喝醉后批准了这次远征，酒醒后又再次表示了同意。不过我想知道第二次点头时，他是不是还有点宿醉未醒。"
444127 "<BLUE>阿里斯塔格拉斯：波斯大王以整个王国的赏金为恩赐，希望我们凯旋而归。"
444128 "<BLUE>阿里斯塔格拉斯：你是知道的，波塞冬更喜欢公牛而不是羊…不过这样应该可以了！"
444129 "<ORANGE>达提斯：希腊人虽然有很多缺点，但他们有许多可以与神明交流的女祭司，其中一位就住在离这里不远的地方。我建议你去拜访一下。"
444130 "<AQUA>女祭司：啊，总督！我听说你来了。听听这些来自太阳神阿波罗的神谕：如果你驾驶船只驶离天父宙斯成长的岛屿，就会有一座伟大的城市付之一炬。"
444131 "<ORANGE>阿尔塔弗涅斯：正合我意！也许这些希腊女祭司还真的有两下子。我会带着祭品和新烤好的馕饼去到你的圣殿。"
444132 "<ORANGE>阿尔塔弗涅斯：尊敬的祭司，请接受这些祭品并赐福于我们的步兵。"
444133 "<ORANGE>阿尔塔弗涅斯：尊敬的祭司，请接受这些祭品并赐福于我们目光敏锐的弓兵。"
444134 "<ORANGE>阿尔塔弗涅斯：尊敬的祭司，请接受这些祭品并赐福于我们的骑兵。"
444135 "<ORANGE>阿尔塔弗涅斯：这里的村民喜欢为小事争吵不休，我的随行人员的出现导致大量村民纷纷请愿。 "
444136 "<RED>爱奥尼亚城镇女居民：总督来了！他会为我们澄清此事。"
444137 "<RED>爱奥尼亚城镇女居民：他会证实这片土地是我的！我的祖父就是在那棵树下结的婚，我的曾祖父就是被那截树根绊倒摔死的。"
444138 "<ORANGE>阿尔塔弗涅斯：将界碑竖在这里。抄写员，记下它的位置，如果有人移动它，就让达埃纳抛弃他的灵魂。"
444139 "<ORANGE>阿尔塔弗涅斯：更多村庄加入了争吵，我想我应该去调查一下。"
444140 "<RED>爱奥尼亚城镇女居民：总督！谢天谢地，您终于来了！这个小偷声称我的山羊归他所有！"
444141 "<RED>爱奥尼亚城镇女居民：愿赫拉拿走你的舌头，你这个骗子！看看它的斑纹，和我围场里的其他山羊一模一样！"
444142 "<ORANGE>阿尔塔弗涅斯：这就是我的判断。只有希腊人才会对着这种不优雅的生物争论不休。"
444143 "<BLUE>阿里斯塔格拉斯：阿尔塔弗涅斯，自从你来以后，这位老农已经吵了几个星期，投诉有人擅自占用他的土地。也许你有办法把这些不速之客赶走？"
444144 "<ORANGE>达提斯：我建议你把这件事情交给我处理，总督。"
444145 "<ORANGE>达提斯：搞定了。阿里斯塔格拉斯，我建议你以后自己解决这种问题。我们不喜欢无能的傀儡统治者。"
444146 "<ORANGE>达提斯：我听到这片土地上到处都有人抱怨税务官超收税费，令人们苦不堪言。我建议我们调查此事。"
444147 "<ORANGE>阿尔塔弗涅斯：什么样的税务管会携带如此致命的武器？还是有意在真正的总督面前耀武扬威？"
444148 "<ORANGE>阿尔塔弗涅斯：当像阿里斯塔格拉斯这种人任由此类腐败之事腐败恶化时，我们如何让整个帝国的臣民们保持忠诚？"
444149 "<RED>爱奥尼亚城镇女居民：啊，总督！谢天谢地您来了！"
444150 "<RED>爱奥尼亚城镇女居民：您的到来让我们倍感荣幸，总督。"
444151 "<ORANGE>阿尔塔弗涅斯：你已得到了你想要的一切。接着，我要看到一场胜利，阿里斯塔格拉斯。"
444152 "<BLUE>阿里斯塔格拉斯：规划航线，直取纳克索斯岛！米利都人将会攻占那座城市。波斯人，你们去摧毁他们的海军基地。"
444153 "<ORANGE>阿尔塔弗涅斯：我手下的已经完成了他们的任务…你似乎损失了很多士兵，阿里斯塔格拉斯。"
444154 "<BLUE>阿里斯塔格拉斯：不，一切顺利，只是…以宙斯的名义起誓，他的头脑很清醒！鸣金收兵！战术性撤退！"
444155 "<ORANGE>阿尔塔弗涅斯：你要去哪儿，阿里斯塔格拉斯？阿里斯塔格拉斯，你要去哪儿？"
444156 "2. 送礼的希腊人"
444157 "公元前 499 年，爱奥尼亚"
444158 "吕底亚的总督阿尔塔弗涅斯正在筹备一场夺取纳克索斯岛的远征。这一战应该没什么悬念——或者说，狡猾的阿里斯塔格拉斯会声称..."
444159 "阿里斯塔格拉斯"
444160 "车队领袖"
444161 "爱奥尼亚城镇女居民"
444162 "爱奥尼亚城镇居民"
444163 "补给车"
444164 "车队护卫"
444165 "精锐车队护卫"
444166 "担惊受怕的爱奥尼亚人"
444167 "税务官"
444168 "掠夺者"
444169 "爱奥尼亚人"
444170 "纳克索斯岛"
444171 "流寇"
444172 "米利都"
444173 "日光山羊"
444174 "月华山羊"
444175 "+ 保护第一个车队。"
444176 "+ 损失的补给车不要超过 <Total> 个。\n损失的补给车：<Carts>"
444177 "+ 护送补给车到米利都。"
444178 "- 向爱奥尼亚人进贡 500 食物和 300 黄金。PC：按右上角的外交按钮；Xbox：光标悬停在女祭司圣殿上方时按 Y 键。"
444179 "+ 确保有足够的补给车可供阿里斯塔格拉斯建造 <Ships Desired> 艘船\n已建造的船数：<Ships Built> 艘"
444180 "- 从一支失事的车队抢救回了少量资源。-"
444181 "<PURPLE>下一支车队在 %d 后抵达"
444182 "- 舰队已做好战斗准备。-"
444183 "- 入侵舰队已就位，随时准备执行征服纳克索斯岛的光荣任务。-"
444184 "+ 摧毁两座纳克索斯岛造船厂：已摧毁 <Shipyards Destroyed>/2 座造船厂"
444185 "- 带阿尔塔弗涅斯前往左侧旗帜，支持爱奥尼亚城镇女居民的合法诉求。"
444186 "- 调查腐败的税务官。"
444187 "- 带阿尔塔弗涅斯去女祭司圣殿。"
444188 "女祭司圣殿"
444189 "- 在女祭司圣殿选择一个光环效果。你的选择会在以后的剧本中持续生效！"
444190 "- 在女祭司圣殿为阿尔塔弗涅斯选一个光环效果。选择三个图标中的其中一个，让阿尔塔弗涅斯能够强化附近的步兵、骑兵或弓兵。你的选择会在以后的剧本中持续生效！"
444191 "+ 摧毁纳克索斯岛上的 <Shipyards>/3 座造船厂。"
444192 "+ 摧毁纳克索斯的巨港。" 
444193 "骑兵光环 I"
444194 "选择<b>骑兵光环 I<b>\n赋予阿尔塔弗涅斯能强化附近<b>骑兵<b>单位的光环效果。"
444194_perth "赋予阿尔塔弗涅斯能强化附近骑兵单位的光环效果。"
444195 "步兵光环 I"
444196 "选择<b>步兵光环 I<b>\n赋予阿尔塔弗涅斯能强化附近<b>步兵<b>单位的光环效果。"
444196_perth "赋予阿尔塔弗涅斯强化附近步兵单位的光环效果。"
444197 "弓兵光环 I"
444198 "选择<b>弓兵光环 I<b>\n赋予阿尔塔弗涅斯能强化附近<b>弓兵<b>单位的光环效果。"
444198_perth "赋予阿尔塔弗涅斯能强化附近弓兵单位的光环效果。"
444199 "+ 等待第一支车队。"

// overflow two
449100 "选择女祭司圣殿，为阿尔塔弗涅斯选择一个光环效果。"
449101 "希腊贵族骑兵 (护卫)"
449102 "克里特弓兵 (护卫)"
449103 "轻装步兵 (护卫)"
449104 "斯基泰斧骑兵 (护卫)"
449105 "塞迦斧战士 (护卫)"
449106 "巴克特里亚弓兵 (护卫)"
499107 "<Carts Spawned>/13 个车队已进入该地区。"
449108 "伯拉西达人 (护卫)"
449109 "吕山德的突袭者 (护卫)"
449110 "阿里斯塔格拉斯开始对纳克索斯岛发动攻击！"
449111 "- 向爱奥尼亚人进贡 500 食物和 300 黄金。PC：按下右上角的外交按钮；Xbox：光标悬停在女祭司圣殿上方时按 Y 键；Xbox 替代方案：打开菜单，然后选择“聊天和外交”，然后选择“外交”选项卡。"
449112 "向爱奥尼亚进贡。PC：按下右上角的外交按钮；Xbox：光标悬停在女祭司圣殿上方时按 Y 键；Xbox 替代方案：打开菜单，然后选择“聊天和外交”，然后选择“外交”选项卡。"
449113 "<PURPLE>从各个方向驶来的最后四辆马车，将在 %d 内抵达"


//
//Scenario Three
//

444200 "<BLUE>阿里斯塔格拉斯：市民们，听我说：长期以来，波斯大王偷走了本属于你们的东西！告诉我，你们能容忍仓库里的老鼠、田里的蝗虫、市场上的小偷吗？不能...不能！那就和我们一起前进吧，兄弟们，拿回属于我们的东西！"
444201 "<ORANGE>阿尔塔弗涅斯：阿里斯塔格拉斯！那个撒谎的叛徒！集结士兵，我要逮捕那个逆贼！"
444202 "<ORANGE>达提斯：希腊兵强马壮，我们只有建立起自己的军队，才能与他们正面对抗。 "
444203 "<BLUE>阿里斯塔格拉斯：希腊同胞们，也许有人会说，“阿里斯塔格拉斯，你心甘情愿给波斯人当了这么多年的走狗，为的就是财富和权力，你又有什么资格能为我们争取自由？”我想说的是：谁又能比我这个奴隶中的佼佼者更了解波斯枷锁的痛苦之处呢？"
444204 "<ORANGE>达提斯：我们必须设法夺回这些城镇，因为我们能在那里招兵买马、获得进贡。"
444205 "<ORANGE>阿尔塔弗涅斯：国库中的金达里克不翼而飞，竟敢在我眼皮底下当叛徒！截住这群盗贼，揪出幕后黑手。"
444206 "<ORANGE>阿尔塔弗涅斯：在那儿，那些该死的叛徒，国库里的黄金就在他们身上。抓住他们！"
444207 "<ORANGE>阿尔塔弗涅斯：我就知道，他们果然是用希腊语通风报信。把他们带进来翻译。"
444208 "<ORANGE>达提斯：又来一条消息，带进来。"
444209 "<ORANGE>达提斯：把这条消息破译出来。"
444210 "<ORANGE>阿尔塔弗涅斯：我就知道，果然是用希腊语通风报信。看来叛徒们在城镇之间组建了一套完整的通信网络...我们还需要更多情报。"
444211 "<ORANGE>阿尔塔弗涅斯：看来叛徒们在城镇之间组建了一套完整的通信网络...我们还需要更多情报。"
444212 "<ORANGE>阿尔塔弗涅斯：叛徒们似乎是通过商人进行运作的...名字，我要名字！"
444213 "<ORANGE>阿尔塔弗涅斯：亚历山德罗斯之子斐洛克利；染匠泰利斯；以弗所的赫卡托姆诺斯。去干掉叛徒。"
444214 "<ORANGE>达提斯：很好，阿尔塔弗涅斯。看来你和你的兄弟一样具备复仇的天分。"
444215 "<BLUE>阿里斯塔格拉斯：抛开你们的波斯主子，助我一臂之力！"
444216 "<BLUE>阿里斯塔格拉斯：迅捷的弓兵们，加入我们崇高的事业吧！"
444217 "<BLUE>阿里斯塔格拉斯：剑士们，将你们的利刃献给自由吧。"
444218 "<BLUE>阿里斯塔格拉斯：了不起的驭马师们，甩开压在你们身上的波斯领主吧！"
444219 "<BLUE>阿里斯塔格拉斯：打造战车的能工巧匠们，我们需要你们的技艺。"
444220 "<BLUE>阿里斯塔格拉斯：身强力壮的投石手们，为了自由将你们的巨石高高抛起吧！"
444221 "<BLUE>阿里斯塔格拉斯：身披青铜重甲的希腊步兵们，与你们的希腊同袍并肩作战吧！"
444222 "<BLUE>阿里斯塔格拉斯：这座城市曾为波斯大王输送精锐护卫，而现在，这里的人民都站在我这边！"
444223 "<BLUE>阿里斯塔格拉斯：阿尔塔弗涅斯，在你的眼皮底下发生这种事，波斯大王知道了一定会勃然大怒。"
444224 "<BLUE>阿里斯塔格拉斯：你们只渴望自由，所以，你们将再次获得自由。"
444225 "<BLUE>阿里斯塔格拉斯：再次从波斯大王的奴役下解放出来！"
444226 "<BLUE>阿里斯塔格拉斯：救主宙斯将保佑这场胜利！"
444227 "<BLUE>阿里斯塔格拉斯：自由之神宙斯，见证我们的胜利吧！"
444228 "<BLUE>阿里斯塔格拉斯：又一座城镇摆脱了波斯的暴政。"
444229 "<BLUE>阿里斯塔格拉斯：对我来说，为爱奥尼亚赢得自由才是最重要的。如果使我从中受益，那也只是众神对正义者的奖赏罢了。"
444230 "<ORANGE>达提斯：弓兵们！再次为波斯大王而战吧。"
444231 "<ORANGE>达提斯：迅捷的弓兵们，别忘了你们真正的主人。"
444232 "<ORANGE>达提斯：打磨兵刃，波斯大王需要你们。"
444233 "<ORANGE>达提斯：战车工匠们，波斯大王需要你们的技艺。 "
444234 "<ORANGE>达提斯：再次为波斯大王效力吧。"
444235 "<ORANGE>阿尔塔弗涅斯 ：那些精良的青铜盾将在我们的前线熠熠生辉。"
444236 "<ORANGE>阿尔塔弗涅斯：驭马师们，只要为我们驭马，你们的背叛行为就会得到宽恕。"
444237 "<ORANGE>阿尔塔弗涅斯：如果你们好好为我办事，我的兄弟就不必知道你们的背叛。"
444238 "<ORANGE>阿尔塔弗涅斯：这座城镇又是我们的了。"
444239 "<ORANGE>阿尔塔弗涅斯：我们赶走了叛军。"
444240 "<ORANGE>阿尔塔弗涅斯：又夺回一座城镇。"
444241 "<ORANGE>达提斯：这座城镇再次属于一位正确的国王。"
444242 "<ORANGE>达提斯：我们在这里恢复了统治。"
444243 "<ORANGE>达提斯：来吧，阿尔塔弗涅斯，站在城镇民众的面前，恢复你的统治。"
444244 "<ORANGE>达提斯：你的兄弟从苏萨派来了援军，正是他自己的精锐护卫队，他们的长矛上装饰着闪亮的苹果徽标。"
444245 "<ORANGE>达提斯：苏萨方面派出了更多援军。"
444246 "<ORANGE>达提斯：波斯大王派出了援军。"
444247 "<ORANGE>达提斯：振作起来，援军已经抵达。"
444248 "<ORANGE>达提斯：吕底亚人非常重视女祭司和预言者。附近就有这样一位女祭司，如果能让山里的那些人信任我们，也许他们就会帮助我们找到他们。"
444249 "<ORANGE>达提斯：女祭司居住在高山之中，就像比索通圣峰坐落在扎格罗斯山脉之中一样。"
444250 "<GREY>女祭司：阿尔塔弗涅斯，你的敬意让我如沐春风。走上前来，告诉我你希望得到什么样的祝福。"
444251 "<ORANGE>阿尔塔弗涅斯：请用芬芳的熏香涂抹步兵的盾牌。"
444252 "<ORANGE>阿尔塔弗涅斯：我的骑兵似乎和他们的坐骑一样容易受惊。请保佑我们的骏马，安抚它们的情绪。"
444253 "<ORANGE>阿尔塔弗涅斯：请让我们的弓兵学会向你们的弓箭之神祈祷，在他们搭弓射箭之际祈求神的祝福。"
444254 "<ORANGE>达提斯：我们除了要把阿里斯塔格拉斯赶出小城镇，还得把他赶出大城市。"
444255 "<ORANGE>阿尔塔弗涅斯：看看那些叛徒逃跑的窝囊样！背信弃义、欺上瞒下，现在又做了懦夫！"
444256 "<BLUE>阿里斯塔格拉斯：记住我的誓言，波斯人：以阿瑞斯、厄倪俄和嗜血的福波斯之名起誓，早晚有一天我会回来的，届时你们会在我面前卑躬屈膝。"
444257 "3. 爱奥尼亚起义"
444258 "公元前 499 年，爱奥尼亚"
444259 "发生叛乱！为了逃避因未完成波斯大王的任务而受到惩罚，阿里斯塔格拉斯和他的希腊同胞们发动了起义。阿尔塔弗涅斯和达提斯正在全力控制叛乱局势。"
444260 "忠诚城镇"
444261 "叛变城镇"
444262 "阿里斯塔格拉斯的军队"
444263 "叛徒"
444264 "阿里斯塔格拉斯的护卫"
444265 "斐洛克利"
444266 "泰利斯"
444267 "赫卡托姆诺斯"
444268 "弓兵护卫"
444269 "步兵护卫"
444270 "骑兵护卫"
444271 "希腊指挥官"
444272 "波斯指挥官"
444273 "萨迪斯"
444274 "阿波罗女祭司"
444275 "秘密消息"
444276 "- 通过占领城镇中的塔夺回城镇。\n每座城镇都会提供贡品和单位加成。"
444277 "- 占领塔楼（削减其生命值）以夺取城镇。\n你控制的每座城镇都会提供一定的黄金贡品，并为你提供一种不同类型的单位加成。"
444278 "- 杀死叛变的信使。"
444279 "- 把秘密消息带回你的堡垒。"
444280 "- 杀死 <Traitors>/3 名叛徒。"
444281 "- 要取回被盗的黄金，需要杀死三名领头的叛徒：斐洛克利、泰利斯和赫卡托姆诺斯。"
444282 "- 在标旗地点建造一个城镇中心。"
444283 "- 带阿尔塔弗涅斯去见女祭司。"
444284 "+ 不要失去所有城镇：\n已控制 <Satrapies Owned>/8 座城镇"
444285 "- 已控制 <Satrapies Owned>/8 座城镇"
444286 "+ 杀死阿里斯塔格拉斯。"
444287 "- 已占领城镇：弓兵加成激活！-"
444288 "- 已占领城镇：骑射手加成激活！-"
444289 "- 已占领城镇：剑士加成激活！-"
444290 "- 已占领城镇：战车加成激活！-"
444291 "- 已占领城镇：长生军加成激活！-"
444292 "- 已占领城镇：长矛骑兵加成激活！-"
444293 "- 已占领城镇：掷矛手加成激活！-"
444294 "- 已占领城镇：轻型骑兵加成激活！-"
444295 "- 援军已抵达！-"
444296 "- 达提斯可让你看到邻近的城镇！-"
444297 "- 已收到骑兵光环 I。-"
444298 "- 已收到步兵光环 I。-"
444299 "- 已收到弓兵光环 I。-"
444300 "- 骑兵光环已提升。-"
444301 "- 步兵光环已提升。-"
444302 "- 弓兵光环已提升。-"
444303 "阿里斯塔格拉斯几乎控制了整个地区！夺回属于你的城镇！"
444304 "- 在堡垒治疗阿尔塔弗涅斯。"
444305 "- 将标记区域的城镇中心升级为强化总督辖地。"
444306 "- 在堡垒治疗达提斯。"
444307 "- 杀死叛变的使者以夺回其密信，并查明偷走黄金的人。使者会在地图上随机生成，四处移动。"
444308 "- 在堡垒收集 <Messages>/3 封密信。"
444309 "圣火庙"
444310 "+ 不要失去所有城镇：\n已控制 <Satrapies Onwed>/8 座城镇"
444311 "- 在标记区域建造一个城镇中心，尝试说服山地居民透露女祭司的位置。"
444312 "奖励目标"
444313 "和"
444314 "- 叛徒偷走了你国库里的黄金！-"
444315 "+ 将补给车带给米利都。\n你可以派遣单位控制被困住的补给车。"
444316 "强盗营地"
444317 "- 将你在标记区域建造的城镇中心升级为强化总督辖地，山地居民将透露女祭司的位置。"
444318 "山地居民"
444319 "阿契美尼德人可以升级他们的城镇中心，以促进附近的经济或军事生产，或加强他们的防御能力。"
444320 "- 建造一座堡垒来训练护卫单位以及研究特殊科技。"
444321 "- 在堡垒中研究一项互不相交的科技。"
444322 "你可以在两种相互排斥的独特科技中进行选择。研究其中一项将禁用另一项。"
444323 "- 在堡垒训练更多护卫单位。"
444324 "- 城镇失守：失去弓兵加成！-"
444325 "- 城镇失守：失去骑射手加成！-"
