IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
IDS_SCENARIO_OTTO_HELP_TEXT "奥托大帝 (936-973)：\n预计完成时间：2 小时。\n奥托是德意志国王，但他的野心远不止于此，他希望称霸意大利，并由教皇亲自加冕其为神圣罗马帝国皇帝。奥托要实现自己的宏图大业，就必须扫除叛乱的公爵、维京掠夺者、异教徒温德人和马扎尔骑兵。奥托能否经受住这些考验，赢得公爵的效忠，成为世人皆知的“大帝”？\n\n在此剧本中，你将扮演条顿人。"
IDS_SCENARIO_SELJUK "塞尔柱 (985)"
IDS_SCENARIO_SELJUK_HELP_TEXT "塞尔柱 (985-1092)：\n预计完成时间：2-4 小时。\n塞尔柱回到家乡，发现自己祖先的牧场被敌对部落占领。他誓言复仇，于是开启了一场世代变革，羊倌和驯马师便成为了征服者和帝国统治者。\n\n在此剧本中，你将扮演鞑靼人。"
IDS_SCENARIO_KARLSEFNI "卡尔塞夫尼 (1000)"
IDS_SCENARIO_KARLSEFNI_HELP_TEXT "托尔芬·卡尔塞夫尼 (9-11 世纪)：\n预计完成时间：2 小时。\n在“金发”哈拉尔征服了挪威的小国王后，许多挪威人为了躲避哈拉尔军队的袭扰、专断法律的压迫而寻求避难。少数人选择在法罗群岛定居，但这些地形崎岖的岛屿很快就人满为患。在这里定居的人们遇到了被吹离航道的水手，他们听这些水手描述西边的新大陆后，随后建造了自己的船只。在大海之外，在“大鲸鱼之路”之外，他们会发现什么呢？\n\n在此剧本中，你将扮演维京人。"
IDS_SCENARIO_KOMNENOS "科穆宁 (1081)"
IDS_SCENARIO_KOMNENOS_HELP_TEXT "阿莱克修斯·科穆宁 (1081-1118)：\n预计完成时间：2 小时。\n罗马帝国在曼齐刻尔特战败后，深受内部权力斗争、叛乱和外敌入侵的困扰。面对这片混乱之景，阿莱克修斯·科穆宁决心夺取王位，改变帝国命运、扭转乾坤。他将成为第二个奥古斯都，还是垂死帝国的又一位失败统治者？\n\n在此剧本中，你将扮演拜占庭人。"
IDS_SCENARIO_STEPHEN "斯蒂芬 (1135)"
IDS_SCENARIO_STEPHEN_HELP_TEXT "布洛瓦的斯蒂芬 (1135-1154)：\n预计完成时间：2 小时。\n征服者威廉的最后一个儿子亨利国王死了，一个子嗣都没有留下，英格兰由此陷入动荡。布洛瓦的斯蒂芬在一场仓促的仪式中加冕为王。斯蒂芬需要面对的是一群虎视眈眈，想要罢黜新王的人。\n\n在此剧本中，你将扮演不列颠人。"
IDS_SCENARIO_TEMUJIN "铁木真 (1185)"
IDS_SCENARIO_TEMUJIN_HELP_TEXT "铁木真 (1185-1215)：\n预计完成时间：2 小时。\n铁木真被父亲最亲近的人背叛，从小在蒙古草原上流浪。他的妻子孛儿帖被蔑儿乞部族掳走后，他向王汗寻求帮助。这一不可思议的举动让铁木真踏上了征服世界的道路，他的铁蹄踏遍俄罗斯的森林一直到日本的岛屿。\n\n在此剧本中，你将扮演蒙古人。"
IDS_SCENARIO_MSTISLAV "姆斯季斯拉夫 (1203)"
IDS_SCENARIO_MSTISLAV_HELP_TEXT "“勇者”姆斯季斯拉夫 (1203-1223)：\n预计完成时间：2 小时。\n姆斯季斯拉夫战胜了库曼人，由此名声大噪，还和库曼军阀可泰安的女儿结了婚。姆斯季斯拉夫的亲戚想要他帮忙实现他们的野心。在与来自东方的凶猛大军交战之前，姆斯季斯拉夫能否将罗斯的誓仇王子团结起来？\n\n在此剧本中，你将扮演斯拉夫人。"
IDS_SCENARIO_CONSTANTINE "君士坦丁十一世 (1453)"
IDS_SCENARIO_CONSTANTINE_HELP_TEXT "君士坦丁十一世 (1453)：\n预计完成时间：2 小时。\n一千年来，君士坦丁堡在外敌凶猛的进攻下屹立不倒，但现在，土耳其人已经带着大炮攻到君士坦丁堡的城墙下。皇帝君士坦丁十一世能否绝地逢生，守住罗马帝国的最后一座堡垒？\n\n在此剧本中，你将扮演拜占庭人。"
IDS_SCENARIO_FETIH "征服者 (1453)"
IDS_SCENARIO_FETIH_HELP_TEXT "“征服者”穆罕默德二世 (1453)：\n预计完成时间：2 小时。\n1453 年，先辈的功绩让奥斯曼帝国苏丹穆罕默德望尘莫及。因为缺乏担任国王的资质，在他加冕之日，欧洲各基督教国家都表示喜闻乐见。为了证明自己，21 岁的他选择直面最高难度挑战。君士坦丁堡作为世界闻名的都城，就矗立在他帝国的中心，从未被人撼动。穆罕默德能否在许多人倒下的地方斩获功绩，让批评他的人心服口服？\n\n在此剧本中，你将扮演土耳其人。"
IDS_SCENARIO_SHIMAZU "岛津 (1545)"
IDS_SCENARIO_SHIMAZU_HELP_TEXT "岛津贵久 (1545-1571)：\n预计完成时间：2-3 小时。\n岛津一族统治九州西南部长达两个世纪。如今，雄踞各地的大名纷纷发起不义之战，一时间战事遍及日本全境，岛津这一野心勃勃的日本武士部族意图统一九州、击败幕府将军，最终结束这场混乱。\n\n在此剧本中，你将扮演日本人。"
IDS_SCENARIO_NOBUNAGA "织田信长 (1551)"
IDS_SCENARIO_NOBUNAGA_HELP_TEXT "织田信长 (1551-1582)：\n预计完成时间：1-2 小时。\n彼时的日本可谓四分五裂。日本武士部族之间的战争横跨各个岛屿，幕府将军无能为力。选择部族，打败对手，统一天下。\n\n在此剧本中，你将扮演日本人。"
IDS_SCENARIO_DRAKE "德瑞克 (1572)"
IDS_SCENARIO_DRAKE_HELP_TEXT "法兰西斯·德瑞克 (1572)：\n预计完成时间：1-2 小时。\n1572 年，英格兰探险家兼海盗法兰西斯·德瑞克抵达西班牙大陆，在这里，来自秘鲁的金银财宝被搬运到西班牙大帆船上，运往欧洲。由于西班牙无敌舰队越来越逼近德瑞克的祖国英格兰，德瑞克开始尽可能地给西班牙人制造麻烦，并借此大发横财。\n\n在此剧本中，你将扮演不列颠人。"
IDS_SCENARIO_XIEAN "谢安 (383)"
IDS_SCENARIO_XIEAN_HELP_TEXT "谢安 (383)：\n预计完成时间：1 小时。\n军阀苻坚征服了北方诸国，只剩下晋国在抵抗他征服整个中国的野心。在谢氏家族成员——宰相谢安和将军谢玄的带领下，兵力处于劣势的晋国守住了淝水东岸。在那里，他们面对的是中国历史上规模最大的军队之一。\n\n在此剧本中，你将扮演中国人。"

//
// Gaiseric (406)
//

396001 "罗马"
396002 "野战军"
396003 "法兰克"
396004 "哥特"
396005 "毛里人"
396006 "苏埃维人与阿兰人"
396007 "敌军"
396008 "1. 汪达尔人是迁徙民族。这意味着你无法建造房屋、磨坊、伐木场、农田或其他多种建筑。你只能将资源存放至城镇中心。\n\n2. 你的城镇中心可以收纳进一辆牛车，并移动到其他地方重新展开成建筑。移动城镇中心时，你会丢失其他的所有建筑。\n\n3. 因此，游玩时的策略应该与一般《帝国时代》玩法不同，要像游牧民族领袖那样思考。多探查可夺取的资源，例如果树丛和敌方农田。找到适合的位置扎根时，要多囤积木材来重建营地，毕竟你的所有建筑都会丢失。\n\n4. 无需害怕迁徙。在资源丰富的地方重建营地，绝对强过忍饥挨饿固守几座建筑。\n\n5. 多寻找牲畜，利用狩猎加成来进行长距离采集。\n\n6. 黄金只能通过摧毁敌方建筑与杀死敌方单位来获取。罗马城市与军队携带的黄金量要远高于部落营地。\n\n7. 多加探索，找到两个盟友——苏埃维人与阿兰人的祭司和战士。探索也能解锁新的目标。\n\n8. 村民可以占领并收获罗马农田，但无法重建。\n\n9. 持续向南迁徙。如果停下脚步，你最终会耗尽资源、停滞不前。\n\n10. 你的英雄会在战斗中变得更强大，要经常派遣他们参战。英雄被杀不会导致游戏失败。"
396009 "侦察兵报告：\n\n- 汪达尔人已经越过了莱茵河，来到了罗马的高卢地区，此地已经被早到一步的法兰克人 (紫色) 与哥特人 (青色) 洗劫了一遍。这些被摧毁的高卢乡村资源稀少，所以必须先偷走敌人的牲畜，然后继续南下，前往更加富庶的土地。\n\n- 罗马人 (红色) 在高卢、西班牙与非洲地区拥有许多城市，以这些城市为目标可以抢到黄金与资源。这里也有可以占领并收获的农田，不过在农田收割完后，汪达尔人必定会继续迁徙。\n\n- 一旦罗马人感受到了汪达尔人构成的威胁，他们就会向汪达尔人发起主动进攻，会在他们的城市中发展机动野战军。只有洗劫罗马城市才能消除野战军带来的威胁。\n\n- 另一支游牧民族——北非的毛里人 (黄色) 居住在沙漠绿洲中，以绿洲为基点发动袭击，对非洲的所有聚落都会构成威胁。\n\n- 最后是汪达尔人的两个盟友——苏埃维人与阿兰人 (灰色)。在迁徙过程中会遇见他们，只要找到他们的营地，就可以将其纳入汪达尔人的队伍中。"
396010 "贡德里克"
396011 "盖塞里克"
396012 "酋长"
396013 "苏埃维公主"
396014 "年份：公元 <Year> 年"
396015 "汪达尔人在迁徙的路上饥寒交迫，艰辛地从结了冰的莱茵河面上走过，此时他们的心中早已没有了和平二字。汪达尔人为了活路，必须消灭法兰克人。"
396016 "汪达尔人居无定所。牛推车上拉着建立营地所需的必需品。在被摧毁的法兰克营地的树木和动物附近展开城镇中心。"
396017 "+ 为汪达尔人找到家园。"
396018 "- 杀死 <Chieftains Killed>/4 名法兰克酋长。"
396019 "+ 你的城镇中心不得被摧毁。"
396020 "+ 在法兰克营地的废墟之上展开你的城镇中心。"
396021 "汪达尔人居无定所，哪里能找到资源他们就迁往哪里，当食物耗尽后再前往下一个地方。他们不能建造磨坊或伐木场，因此必须移动城镇中心才能发展部落。"
396022 "如果要进行迁移，在城镇中心训练一辆牛推车，收起这个结构。这样将会拆除和失去所有其他建筑。一旦本地资源耗尽或为了躲避危险，就需要进行迁移。"
396023 "年轻的君王贡德里克和他同父异母的兄弟盖塞里克都没有多少战事经验。只有杀戮和劫掠才能让他们在战场上留下伤疤，获得汪达尔人的尊敬。"
396024 "只有洗劫敌军建筑或杀死敌军士兵才能在突袭中抢得黄金。"
396025 "+ 探索并劫掠附近地区。"
396026 "贡德里克的技能等级提升了。"
396027 "盖塞里克的技能等级提升了。"
396028 "哥特人在附近放牧牲畜，这些动物可以养活很多战士。"
396029 "苏埃维国王的女儿被法兰克人掳走了，他下令将会重赏救出他女儿的人。"
396030 "苏埃维国王很是感激。"
396031 "战士们叫嚷着只要有机会一定要洗劫一座罗马城市。汪达尔国王对于这么丰盛的战利品也颇为心动。"
396032 "今晚，战士们会在已被烧为废墟的罗马城中为自己死去的兄弟们唱歌。"
396033 "让法兰克人血溅战场是对他们杀害德吉赛尔国王的最好报应。"
396034 "- 解救苏埃维公主。"
396035 "+ 洗劫一座罗马城市。"
396036 "再往南有肥沃的土地，那里有果树丛、野禽，甚至还有农田。准备好的话，在城镇中心训练一辆牛推车迁徙到这些土地上。你会失去所有建筑，因此，要确保拥有足够的木材用于重建。"
396037 "罗马诸城固然坚如磐石，可是偏远的村庄和农田却不堪一击。可以夺取并耕种农田直到耗尽为止。 "
396038 "匈奴的到来让这些阿兰人四散而逃，他们会把自己的帐篷与汪达尔人的帐篷搭在一起。"
396039 "这些来自德国森林的苏埃维人天生好战，自古以来就是汪达尔人的朋友。"
396040 "信奉基督教的汪达尔人请求国王修建一座修道院，来传播阿利乌的正道。"
396041 "修道院已启用。可以研究异教了。"
396042 "苏埃维人和阿兰人在西班牙边境等待着汪达尔人到来。那里有许多罗马城市，可以让他们洗劫个痛快。"
396043 "汪达尔国王梦到他率领自己的子民烧毁并征服了一座伟大的城市。洗劫罗马将会让他的子民名垂青史。"
396044 "不过现在还不能对那座城市下手，汪达尔人必须先征服罗马的行省西班牙。"
396045 "一座名为“迦太基”的古城曾向罗马的统治发起过挑战。受上帝的旨意，这里将是汪达尔人最后的，也是被许多人觊觎的美好家园。"
396046 "他们将从迦太基出发，一路书写属于自己的命运篇章。不过，没有船只的汪达尔人必须先招降一座罗马码头，才能在海上航行。"
396047 "可以在修道院研究救赎了。"
396048 "汪达尔人学得很快，现在就已经可以出海了。什么也不能阻止汪达尔人抵达非洲大陆，将罗马洗劫一空。 "
396049 "码头与船只已启用。 "
396050 "- 建造一座修道院。"
396051 "- 研究阿里乌斯派异教。"
396052 "- 与西班牙地区的苏埃维人与阿兰人接洽。"
396053 "+ 洗劫罗马。"
396054 "+ 研究救赎。"
396055 "+ 招降一座罗马码头以建造船只。"
396056 "+ 在迦太基定居。"
396057 "汪达尔人最后的家园迦太基已近在眼前。在那里定居将会结束这个民族漂泊无根的生活。"
396058 "在标旗区域展开城镇中心，控制迦太基的建筑并结束迁徙之旅。"
396059 "在经过长途跋涉之后，汪达尔人终于抵达了迦太基，结束了他们的漂泊。"
396060 "新建筑已启用。"
396061 "罗马依然是海上霸主，他们用战船封锁了前往罗马的水路。汪达尔人可以建造战船在海上与罗马人一战，也可以把西西里岛变成殖民地，并通过陆路直抵意大利半岛。"
396062 "这世上最伟大的城市罗马，如今已近在眼前，唾手可得！"
396063 "汪达尔人在罗马古城肆意屠杀劫掠，在史书中留下了斑斑劣迹。"
396064 "+ 在迦太基展开城镇中心，结束迁徙之旅。"
396065 "- 已洗劫城市：<Roman Cities Sacked>/14 座。"
396066 "- 击败毛里人并结束他们的突袭。"
396067 "已洗劫卢格杜努姆。"
396068 "已洗劫布迪格拉。"
396069 "已洗劫马赛。"
396070 "已洗劫塔洛可。"
396071 "已洗劫新迦太基。"
396072 "已洗劫梅里达。"
396073 "已洗劫凯撒里亚。"
396074 "已洗劫加来。"
396075 "已洗劫帕尔马。"
396076 "已洗劫叙拉古。"
396077 "已洗劫那不勒斯。"
396078 "已洗劫布鲁迪辛乌姆。"
396079 "已洗劫狄拉奇乌姆。"
396080 "可以在兵营、马厩与码头研究酋长、掠夺者与希腊之火了。"
396081 "可以在兵营研究皇家卫队了。"
396082 "你已经开始自由游戏。完成游戏后，可以在城镇中心用特殊科技宣告胜利来退出剧本。"
396083 "你已经开始自由游戏。完成游戏后，可以在城镇中心宣告胜利 (特殊科技) 来退出剧本。"
396084 "自由游戏：在城镇中心宣告胜利即可退出剧本。"
396085 "宣布胜利"
396086 "你已经失去了聚落！各部落四散而逃，你被打败了！"
396087 "贡德里克和他的父亲一样光荣战死。如今，他同父异母的兄弟盖塞里克统领着各部落。"
396088 "贡德里克和他的父亲一样光荣战死。如今，他的侄子胡内里克统领着各部落。"
396089 "盖塞里克战死沙场。贡德里克虽然为兄弟的死感到悲伤，却也对兄弟的英勇赞赏不已。"
396090 "盖塞里克战死沙场。如今，他的儿子胡内里克统领着子民。"
396091 "贡德里克濒临死亡！快保护他！"
396092 "盖塞里克濒临死亡！快保护他！"
396093 "招降罗马码头以获得船只。不要摧毁它，否则你将无法抵达非洲。"
396094 "第一批匈奴骑兵已经进入高卢地区。汪达尔人必须冒险深入罗马领土腹地，才能远离这股威胁。"
396095 "更多的匈奴人踏入了高卢…"
396096 "一个名叫阿提拉的军阀弑兄后夺取了匈奴氏族的指挥权。他早晚会将战火烧到罗马以及阻挡在他前面的任何势力。"
396097 "罗马人和哥特人在听到匈奴的铁蹄声后瑟瑟发抖，阿提拉的大军来了！"
396098 "打包<b>城镇中心<b>\n将市中心打包，将其移动到另一个位置。打包会摧毁所有其他建筑。\n<hp> <armor> <piercearmor>"

// Gaiseric (406)

398801 "在 406 年的最后一天，汪达尔人渡过莱茵河进入了罗马帝国。"
398802 "为了逃离匈奴来犯带来的纷争与暴力，他们伟大的国王戈迪吉塞尔带领他们跋涉千里，远离故土。"
398803 "可是，当汪达尔人抵达已结冰的莱菌河畔时，国王戈迪吉塞尔已经在当年早些时候与法兰克的战斗中战死。"
398804 "如今，由他的两个儿子贡德里克和盖塞里克承担起统领各部落的责任。他们的人民在莱茵河西岸饥寒交迫、瑟瑟发抖，这条河流是罗马的开化之地和东部蛮荒之地之间的边界。"
398805 "汪达尔人虽然经过长途跋涉穿越了日耳曼尼亚，可他们的旅程才刚刚开始。"
398811 "汪达尔人在抵达罗马境内后造成的破坏和恐怖行径让这个民族成为传奇。几个世纪之后，这场劫掠所产生的回响使汪达尔人成为无谓破坏行为的代名词。"
398812 "虽然背负着这样的骂名，不过汪达尔人却在北非建立了一个令人钦佩的王国。他们摇身一变，从习惯迁徙的日耳曼战士化身为罗马最富庶行省精通航海的水手。"
398813 "然而，汪达尔王国积累的大量财富使其成为一心收复罗马帝国的查士丁尼大帝的目标。在统治北非超过一个世纪后，汪达尔人最终于 534 年被罗马名将贝利沙鲁斯击败。"
398814 "这次战败之后，一些汪达尔人加入了东罗马军队，并在波斯担任骑兵，另一些则逃到了阿尔及利亚北部，融入了当地的柏柏尔人之中。"
398815 "从日尔曼尼亚、高卢、西班牙再到非洲，这群人经过长途跋涉终于结束了颠沛流离的生活，自此消失在历史的迷雾之中。"

//
// Vortigern (440)
//

396101 "皮克特人"
396102 "盖尔人"
396103 "法兰克"
396104 "撒克逊人"
396105 "罗马-不列颠"
396106 "1. 你的人口上限为 200 人，但开局时负债累累。你的重点应该放在重建不列颠的经济上，并同时抵御敌人的袭击。\n\n2. 撒克逊人是你生存的关键。你招募的撒克逊人越多，你的军队也将变得越强大。\n\n3. 撒克逊人是你的救星，但他们也可能招致你的灭亡。没有他们，你将无法存活，但你越依赖他们，撒克逊人的聚落就会变得越强大。强大的撒克逊人将不可避免地成为敌人。\n\n4. 逐渐过渡到由不列颠人组成的军队，否则当撒克逊人攻击你时，你的军队将背弃你。\n\n5. 修复罗马城墙和塔楼，因为它们要优于你可以建造的任何城墙和塔楼。即使是步兵也可以使用塔楼来对付你的敌人。\n\n6. 与其分散兵力，不如从无法防守的领土上撤退。"
396107 "侦察兵报告：\n\n- 随着罗马军团兵的离开，不列颠的前途开始变得扑朔迷离。德瓦、埃伯拉肯、格莱维姆和朗蒂尼亚姆这几座城市成为了罗马文明在这座岛屿上最后残存的痕迹。但这些城市的城墙已经受损，驻军也早已不复存在。\n\n- 北方高地野蛮的皮克特人 (蓝色) 威胁着不列颠。尽管哈德良长城已经阻挡了这群野蛮人三个多世纪，但现在的城墙年久失修，而且驻扎的人数也太少了。\n\n- 爱尔兰的盖尔人 (绿色) 正趁此混乱的局面，沿着他们自己的岛屿海岸线一路向西发动海盗突袭。\n\n- 同样心怀鬼胎的还有法兰克人 (黄色)，他们从弗里斯海岸的营地出发，向东扬帆直指不列颠，并计划着像掠夺罗马的高卢一样，在不列颠大肆搜刮。\n\n- 不列颠被这些野蛮人所围攻，能攥紧的救命稻草或许就只有日耳曼的撒克逊人 (灰色) 了，这些可怕且能力出众的战士们一直渴望通过出卖武力换取土地。"
396108 "罗马"
396109 "招募撒克逊蛮族盟军"
396110 "招募<b>撒克逊蛮族盟军<b> (<cost>)\n将未使用的土地用于为军队服务。通过后续的招募不断增加战士数量。"
396111 "--撒克逊战士已抵达--"
396112 "沃蒂根陛下，不列颠毫无防守之力，国库也濒临破产。您必须征募撒克逊人，否则不列颠就会沦陷于入侵者之手。 "
396113 "选择世界奇观并招募撒克逊蛮族盟军。"
396114 "协议已达成。撒克逊战士将为你浴血奋战，但作为交换条件，他们将获得东海岸的聚落领地。他们已经在那里安顿下来了。"
396115 "你暂时需要依靠这些在世界奇观招募来的撒克逊人，然后抓紧时间充实国库并重建军队。"
396116 "但要记住：你招募来的每一个撒克逊人都会使撒克逊聚落变得更强大，而他们不可能永远都是你的盟友。在招募撒克逊人时要慎重，同时建立自己的武装力量也很重要。"
396117 "撒克逊人的聚落规模会随着你的招募工作不断扩大。越来越强大的战团，将在你的军队中成为一股中坚力量。"
396118 "沉重的债务使你没办法从自己的民众中招收战士。你应该找一些金矿或继续招募撒克逊人。"
396119 "哈德良皇帝所筑的长城，三个世纪以来一直抵御着野蛮的皮克特人。让我们祈祷它能继续守护不列颠的安宁。"
396120 "这些战士身上流淌的血液，正是来自最后一批驻扎在不列颠的军团兵。他们身披祖辈的护甲，手持着祖辈的武器，脑海中还残留着对罗马战术的模糊记忆。"
396121 "但他们是你的唯一依靠。"
396122 "虽然岁月已把古罗马的城墙和塔楼侵蚀得面目全非，但就防御能力而言，它们仍是你们任何人都无法超越的杰作。仅凭一名剑士屹立在塔楼之巅，就能形成一夫当关、万夫莫开之势。"
396123 "这些撒克逊人不仅是战士，也是丈夫和父亲。他们怀揣着对未来的憧憬，希望和我们一起在这片土地上开创新的生活。"
396124 "随着你将这些撒克逊人招纳入军中，他们在东部的聚落也日益繁荣壮大。在那里，不列颠人在数量上已不占优势。"
396125 "撒克逊人的数量持续增加，他们开始对更多土地虎视眈眈——包括你的土地在内。虽然他们的国王还宣誓对你效忠，但这种局面注定不会长久。"
396126 "撒克逊人对不列颠领土的蚕食，使这两个民族的关系摇摇欲坠。有些撒克逊人甚至开始在边境掠夺不列颠人的财物。"
396127 "撒克逊诸王势力强盛，如今他们开始联盟勾结，密谋对你不利。战争的号角即将吹响。对于身在你军队中的每一个撒克逊人，切莫掉以轻心。"
396128 "背叛，这是不可避免的野蛮背叛…...撒克逊人入侵，他们在军中的族人也开始倒戈，将战斧对准了你。"
396129 "你以七倍之力报复了这些忘恩负义的撒克逊人。他们的君主之首级高悬于城墙，他们的子民四处离散。"
396130 "盖尔人如狂潮般侵袭你的海岸，劫掠财物。你必须扼杀他们的嚣张气焰。"
396131 "谣言纷飞，传说爱尔兰海彼岸的高王已逝。有权者为证明自己有继承统治的合法性而开始劫掠，此类行径必将激增。"
396132 "野蛮的皮克特人已突破北方长城，他们正如狼似虎向不列颠扑来。"
396133 "皮克特人的荒凉土地，让进军至此的战士们不寒而栗。"
396134 "皮克特人召集战士，想要将你的军队逐出他们的土地。"
396135 "皮克特人已被征服，他们的酋长被处决，他们的军队烟消云散。你的北方边境已安全无虞。"
396136 "有人在不列颠的东部发现了法兰克掠夺者的踪迹。"
396137 "年份：公元 <Year> 年"
396138 "+ 招募撒克逊蛮族盟军。"
396139 "+ 存活至公元 500 年"
396140 "+ 世界奇观不能被摧毁。"
396148 "皮克特首领"
396149 "埃伯拉肯被入侵者占领了！"
396150 "朗蒂尼亚姆被入侵者占领了！"
396151 "格莱维姆被入侵者占领了！"
396152 "埃伯拉肯"
396153 "伦蒂尼恩"
396154 "格莱维姆"
396155 "世界奇观 (德瓦)"
396156 "招募的撒克逊人：<Saxon Number>"

// Vortigern (440)

398821 "随着帝国的衰落，罗马军团兵离开了不列颠。"
398822 "野蛮人抓住了这个机会，袭击了这个岛屿。他们 (北部高地的野蛮皮克特人) 从陆路和海路来到这里，袭击了西边的盖尔人，以及东边的各个日耳曼部落。"
398823 "随着不列颠的城墙崩塌，城镇遭到了洗劫，不列颠人请求军团返回。对此，皇帝霍诺留告诉不列颠人要自己保护自己。"
398824 "不列颠现在是孤军奋战。"
398831 "五世纪不列颠留下的文献不多，而且这一时期也被神话所笼罩。中央权力消失了，城市变得空无一人，地方领主建立了城堡，他们用军团兵留下的武器武装自己的扈从。"
398832 "在罗马不列颠陨落之后的一个世纪，修道士吉尔达斯在其著作中描述，卑鄙的国王沃蒂根邀请撒克逊人来到岛上，以抵御其他野蛮人。然而，撒克逊人很快背叛了沃蒂根，不仅杀死了他的儿子们，还在不列颠东部建立了王国。这些王国最终演变成盎格鲁撒克逊王国。"
398833 "然而，老不列颠的某些东西依然还在，其渊源比罗马人还要古老。在岛屿的西边，威尔士保留了布立吞文化，以对抗凶猛的撒克逊人。威尔士人的自由生活持续了 9 个世纪，直到诺曼人征服这片最后的疆土。"

//
// Charlemagne (768)
//

396201 "卡洛曼"
396202 "撒克逊人"
396203 "伦巴第人"
396204 "伍麦叶人"
396205 "阿瓦尔"
396206 "小型势力"
396207 "教皇"
396208 "1. 你的人口上限为 200 人，在达到帝王分数 70 之前，你只能发展到城堡时代。你不能训练火药单位。\n\n2. 你可以选择攻击并杀死卡洛曼，但如果能找到另外一种方法让他离世，同时仍是他的盟友，就能让你完整地夺取他的领土和军队。\n\n3. 你每击败一个势力都会获得加成。\n\n4. 寻找学者 (持有圣物的僧侣) 来丰富你的文明。有些学者位于你的敌人之中，但并不会受到敌人的攻击。\n\n5. 教皇的祝福会赋予查理曼正义的怒火，助其战斗。一有机会就即刻把他带到罗马。\n\n6. 世界奇观必须建在你的初始位置附近。在其他地方建造将导致建筑无效。"
